direction_name,wheelchair_accessible,block_id,trip_id,direction_id,shape_id,route_id,service_id,trip_headsign
Westbound,1,b_461006_Timetable_-_2025-12,2700__461006_Timetable_-_2025-12,1,100.0.19526496011_Timetable_-_2025-12,902,SatSun_merged_94406,C - Oshawa Centre Terminal
Westbound,1,b_461004_Timetable_-_2025-12,2701__461004_Timetable_-_2025-12,1,100.0.19526496011_Timetable_-_2025-12,902,SatSun_merged_94406,C - Oshawa Centre Terminal
Westbound,1,b_461007_Timetable_-_2025-12,2702__461007_Timetable_-_2025-12,1,100.0.19526496011_Timetable_-_2025-12,902,SatSun_merged_94406,C - Oshawa Centre Terminal
Eastbound,1,b_461003_Timetable_-_2025-12,2703__461003_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461006_Timetable_-_2025-12,2704__461006_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461004_Timetable_-_2025-12,2705__461004_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461001_Timetable_-_2025-12,2706__461001_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461002_Timetable_-_2025-12,2707__461002_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461003_Timetable_-_2025-12,2708__461003_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461006_Timetable_-_2025-12,2709__461006_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Northbound,1,b_401051_Timetable_-_2025-12,270__401051_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Eastbound,1,b_461004_Timetable_-_2025-12,2710__461004_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461001_Timetable_-_2025-12,2711__461001_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461002_Timetable_-_2025-12,2712__461002_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
