stop_desc,stop_url,stop_name,stop_lat,stop_code,stop_id,location_type,preferred,stop_timezone,stop_lon,parent_station,zone_id,wheelchair_boarding
,,Brock Street Northbound @ John,43.882531,172,172,0,2,,-78.943093,,,1
,,Brock Road Northbound @ Kingston,43.848587,1724,1724,0,2,,-79.07411399999998,,,1
,,Liverpool Northbound @ Pickering Parkway,43.833073,1729,1729,0,2,,-79.08913099999998,,,1
,,Brock Street Northbound @ Walnut,43.884079,173,173,0,2,,-78.943797,,,1
,,Liverpool Northbound @ Kingston,43.835391,1730,1730,0,1,,-79.090151,,,1
,,Northbound @ 1851 Liverpool,43.837643,1731,1731,0,1,,-79.09107,,,1
,,Liverpool Northbound @ Glenanna,43.83937800000001,1732,1732,0,2,,-79.091944,,,1
,,Northbound @ 1917 Liverpool,43.840787,1733,1733,0,2,,-79.092623,,,1
,,Liverpool Northbound @ Anton Square,43.842877,1734,1734,0,2,,-79.093507,,,1
,,Brock Street Northbound @ Chestnut,43.88521,174,174,0,2,,-78.944286,,,1
,,Liverpool Southbound @ Pickering Parkway,43.832976,1741,1741,0,2,,-79.089382,,,1
,,Kingston Westbound @ Whites,43.818764,1742,1742,0,2,,-79.115943,,,1
,,Whites Northbound @ Sheppard,43.821974,1743,1743,0,2,,-79.116675,,,1
,,Whites Northbound @ Briar Wood,43.826169,1745,1745,0,2,,-79.11869299999998,,,1
,,Whites Northbound @ Strouds,43.82930600000001,1746,1746,0,1,,-79.120021,,,1
,,Whites Northbound @ New,43.833399,1747,1747,0,2,,-79.121756,,,1
,,Whites Northbound @ Finch,43.838667,1749,1749,0,2,,-79.12405,,,1
