station_id,external_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,geofenced_capacity,rental_methods,is_virtual_station,groups,nearby_distance,_bluetooth_id,_ride_code_support,rental_uris,obcn,short_name,is_valet_station
39,eb15d4ad-df87-11ef-b9d3-0681a956ccf1,039 - KR 7 con CL 69,REGULAR,4.6511745,-74.0578352,,Carrera 7 entre Calle 68 y Calle 67,QUINTA CAMACHO,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,9b77,True,{},,,
40,eb15d6ca-df87-11ef-b9d3-0681a956ccf1,040 - KR 4 con CL 67,ELECTRICBIKESTATION,4.649413,-74.055228,,Carrera 4 entre Calle 67 y Calle 68,GRANADA,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,8f83,True,{},,,
41,eb15d901-df87-11ef-b9d3-0681a956ccf1,041 - KR 7 con CL 112,REGULAR,4.6915496,-74.0336463,,Av. Carrera 7 entre Calle 112 y Calle 113,USAQUEN,1111,55,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,12e0,True,{},,,
42,eb15db33-df87-11ef-b9d3-0681a956ccf1,042 - Parque Chicó Reservado,REGULAR,4.6779694,-74.0416709,,Carrera 8a entre Calle 96 y Calle 96 Bis,CHICO NORTE II SECTOR,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,b50a,True,{},,,
43,eb15dd56-df87-11ef-b9d3-0681a956ccf1,043 - CL 93B con KR 16,REGULAR,4.6790558,-74.0518607,,Calle 93B entre Carrera 17 y Carrera 16,CHICO NORTE,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,6829,True,{},,,
45,eb15e1ba-df87-11ef-b9d3-0681a956ccf1,045 - CL 90 con KR 12,REGULAR,4.672883,-74.0499776,,Calle 90 entre Carrera 12 y Carrera 11A,EL CHICO,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,f9c7,True,{},,,
46,eb15e3de-df87-11ef-b9d3-0681a956ccf1,046 - KR 7A con CL 90,REGULAR,4.671132,-74.044498,,Carrera 7A entre Calle 90 y Calle 92,EL CHICO,1111,31,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,ccd2,True,{},,,
47,eb15e60a-df87-11ef-b9d3-0681a956ccf1,047 - Calle 96,REGULAR,4.6786504,-74.0443513,,Calle 96 entre Carrera 11 y Carrera 10,CHICO NORTE II SECTOR,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,0927,True,{},,,
48,eb15e82f-df87-11ef-b9d3-0681a956ccf1,048 - CL 99 con KR 11,REGULAR,4.6818898,-74.0440349,,Calle 99 entre Carrera 11 y Carrera 11A,CHICO NORTE II SECTOR,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,2f16,True,{},,,
49,eb15ea67-df87-11ef-b9d3-0681a956ccf1,049 - CL 98 con KR 15,REGULAR,4.683171,-74.048861,,Calle 98 entre Carrera 15 y Carrera 16,CHICO NORTE III SECTOR,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e5b6,True,{},,,
50,eb15ee23-df87-11ef-b9d3-0681a956ccf1,050 - CL 53 con KR 26,ELECTRICBIKESTATION,4.642002,-74.075666,,Calle 53 entre Carrera 26 y Carrera 27,GALERÍAS,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,82c8,True,{},,,
51,eb15f07a-df87-11ef-b9d3-0681a956ccf1,051 - KR 23 con CL 53,ELECTRICBIKESTATION,4.642604,-74.073237,,Carrera 23 entre calle 53 y calle 53 a bis,,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,1573,True,{},,,
53,eb15f4e0-df87-11ef-b9d3-0681a956ccf1,053 - Parque Alfonso Lopez,ELECTRICBIKESTATION,4.639318,-74.072509,,Calle 51 entre Carrera 21 y Carrera 22,,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,cb7e,True,{},,,
54,eb15f706-df87-11ef-b9d3-0681a956ccf1,054 - CL 53 con KR 19,ELECTRICBIKESTATION,4.641115,-74.070938,,Calle 53 entre Carrera 19 y carrera 20,,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,1ca7,True,{},,,
55,eb15f935-df87-11ef-b9d3-0681a956ccf1,055 - CL 53 con KR 15,REGULAR,4.6403598,-74.0665439,,Calle 53 entre Carrera 14 y Carrera 15,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,7c77,True,{},,,
56,eb15fb63-df87-11ef-b9d3-0681a956ccf1,056 - CL 50 con KR 14,REGULAR,4.6374446,-74.0673041,, Calle 50 entre Carreras 14 y 15,,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,0ffb,True,{},,,
57,eb15fd86-df87-11ef-b9d3-0681a956ccf1,057 - KR 13 con CL 52,REGULAR,4.6392705,-74.0651798,,Carrera 13 entre Calle 52 y Calle 52A,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,4ce6,True,{},,,
58,eb15ffaf-df87-11ef-b9d3-0681a956ccf1,058 - CL 47 con KR 9,ELECTRICBIKESTATION,4.6341953,-74.0658267,,Calle 47 entre Carrera 9 y Carrera 13,MARLY,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,c355,True,{},,,
59,eb1601cd-df87-11ef-b9d3-0681a956ccf1,059 - CL 45 con KR 7,ELECTRICBIKESTATION,4.631379,-74.064615,,Calle 45 entre Carrera 7 y Carrera 8,,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3c62,True,{},,,
60,eb16043f-df87-11ef-b9d3-0681a956ccf1,060 - CL 72 con KR 9,REGULAR,4.656153,-74.057045,,Calle 72 entre Carrera 10 y Carrera 9,PORCIUNCULA,1000,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,,True,{},,,
62,eb16088c-df87-11ef-b9d3-0681a956ccf1,062 - Canal Arzobispo,REGULAR,4.6343917,-74.0753895,,Carrera 24 entre Calle 45 y 45A ,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,8972,True,{},,,
64,eb160e67-df87-11ef-b9d3-0681a956ccf1,064 - Parque Guernika,REGULAR,4.6352339,-74.0701844,,Diagonal 46 entre Transversal 16a y Transversal 18,PALERMO,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3148,True,{},,,
67,eb1615c2-df87-11ef-b9d3-0681a956ccf1,067 - CL 52 con KR 16,ELECTRICBIKESTATION,4.639858,-74.069169,,Calle 52 entre Carrera 16 y Carrera 17,,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,a4d9,True,{},,,
68,eb161853-df87-11ef-b9d3-0681a956ccf1,068 - KR 18 con CL 93,REGULAR,4.678834,-74.053641,,Carrera 18 entre Calle 93 y Calle 93B,CHICO LAGO,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3042,True,{},,,
69,eb161a8f-df87-11ef-b9d3-0681a956ccf1,069 - AK 30 con CL 47A,REGULAR,4.6364053,-74.07911,,Avenida Carrera 30 entre Calle 47a y Calle 46,,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,f074,True,{},,,
71,eb161ee0-df87-11ef-b9d3-0681a956ccf1,071 - CL 35 con KR 17,REGULAR,4.6242942,-74.071973,,Calle 35 entre Carrera 16 y Carrera 17 ,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,4f94,True,{},,,
73,eb16233a-df87-11ef-b9d3-0681a956ccf1,073 - Parque Nacional,REGULAR,4.623541,-74.066275,,Carrera 7 entre Calle 36 y Calle 39,PARQUE NACIONAL,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,eec1,True,{},,,
74,eb162596-df87-11ef-b9d3-0681a956ccf1,074 - Parque Sucre,REGULAR,4.6305045,-74.0662841,,Calle 43 A entre Carrera 13 y Carrera 9,,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,4b8a,True,{},,,
75,eb1627c3-df87-11ef-b9d3-0681a956ccf1,075 - CL 45 con KR 13,REGULAR,4.631978,-74.066018,,Calle 45 entre Carrera 8 y Carrera 13,SUCRE,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,b62d,True,{},,,
76,eb162c98-df87-11ef-b9d3-0681a956ccf1,076 - KR 18 con CL 40,REGULAR,4.62946,-74.071566,,Carrera 18 entre Calle 40 y Calle 39B,,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,c424,True,{},,,
80,eb163538-df87-11ef-b9d3-0681a956ccf1,080 - KR 20 con CL 39B,ELECTRICBIKESTATION,4.629114,-74.073443,,Carrera 20 entre Calle 39a y Calle 39b,,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,9683,True,{},,,
81,eb1643d1-df87-11ef-b9d3-0681a956ccf1,081 - KR 28 con CL 45,ELECTRICBIKESTATION,4.634216,-74.078604,,Carrera 28 entre Calle 43 y Calle 45,,1111,11,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,8d09,True,{},,,
86,eb1652a5-df87-11ef-b9d3-0681a956ccf1,086 - Parkway CL 37,REGULAR,4.626239,-74.074924,,Calle 37 con Diagonal 36Bis,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,2c14,True,{},,,
89,eb165949-df87-11ef-b9d3-0681a956ccf1,089 - Parkway CL 42,ELECTRICBIKESTATION,4.6325425,-74.075102,,Calle 42 con Carrera 24,,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,b4dc,True,{},,,
90,eb165b6d-df87-11ef-b9d3-0681a956ccf1,090 - DG 92 con NQS,REGULAR,4.67917,-74.059478,,Av. Carrera 30 entre Carrera 45A y Calle 93,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,6ce3,True,{},,,
91,eb165d95-df87-11ef-b9d3-0681a956ccf1,091 - CL 57 con KR 7,REGULAR,4.6433691,-74.0625285,,Calle 57 entre Carrera 7 y Carrera 8,,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,6794,True,{},,,
92,eb165faf-df87-11ef-b9d3-0681a956ccf1,092 - Parque de Los Hippies,REGULAR,4.645593,-74.0624731,,Calle 60 entre Carrera 7 y Carrera 9,CHAPINERO CENTRAL,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,bfe1,True,{},,,
93,eb166462-df87-11ef-b9d3-0681a956ccf1,093 - VANTI,REGULAR,4.6541215,-74.054252,,Calle 72 entre CArrera 7 y Carrera 5,,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,8e76,True,{},,,
94,eb16670e-df87-11ef-b9d3-0681a956ccf1,094 - Parque El Virrey 3,REGULAR,4.6737337,-74.0565811,,Calle 87 entre Carrera 19 y Carrera 19A,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,426d,True,{},,,
96,eb166b87-df87-11ef-b9d3-0681a956ccf1,096 - KR 13 con CL 54,REGULAR,4.641064,-74.0647202,,Carrera 13 entre Calle 54 y Calle 54 Bis,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,a2c1,True,{},,,
98,eb166fcc-df87-11ef-b9d3-0681a956ccf1,098 - Plaza de Lourdes,REGULAR,4.649964,-74.06339,,Carrera 13 entre Calle 63 y Calle 63A,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1111.0,756a,True,{},,,
99,eb1671f0-df87-11ef-b9d3-0681a956ccf1,099 - Parque Lourdes,REGULAR,4.649251,-74.061457,,Carrera 9A entre Calle 63 y Calle 64,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,c1e0,True,{},,,
100,eb167403-df87-11ef-b9d3-0681a956ccf1,100 - CL 12A con KR 7,REGULAR,4.5998072,-74.0748308,,Calle 12A entre Carrera 7 y Carrera 8,MICROZONA 1 (MURILLO),1111,27,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,5c44,True,{},,,
101,eb16761a-df87-11ef-b9d3-0681a956ccf1,101 - Sandra Catalina Vásquez Guzmán,REGULAR,4.603124,-74.065812,,Diagonal 20A entre Carrera 1 y Carrera 1E,,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,f8b9,True,{},,,
102,eb167866-df87-11ef-b9d3-0681a956ccf1,102 - CL 78 con KR 24,ELECTRICBIKESTATION,4.668137,-74.064042,,Calle 78 entre Carrera 24 y Carrera 26,,1111,15,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3130,True,{},,,
103,eb167ab6-df87-11ef-b9d3-0681a956ccf1,103 - KR 10 con CL 27,REGULAR,4.6132276,-74.0695865,,Carrera 10 entre Calle 27 y Calle 26A,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e752,True,{},,,
104,eb167cd8-df87-11ef-b9d3-0681a956ccf1,104 - KR 7 con CL 28,REGULAR,4.616726,-74.068947,,Carrera 7 entre calle 28 y Av Calle 32,SAMPER,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,48f2,True,{},,,
105,eb167f1c-df87-11ef-b9d3-0681a956ccf1,105 - CL 7 con KR 4,REGULAR,4.5940889,-74.0745322,,Calle 7 entre Carrera 4 y Carrera 5 ,CENTRO ADMINISTRATIVO,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,2173,True,{},,,
106,eb1682c2-df87-11ef-b9d3-0681a956ccf1,106 - CL 11 con KR 4,REGULAR,4.597083,-74.0733875,,Calle 11 entre Carrera 4 y Carrera 5b,CENTRO ADMINISTRATIVO,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,af9e,True,{},,,
108,eb16877a-df87-11ef-b9d3-0681a956ccf1,108 - KR 7 con CL 35,REGULAR,4.622666,-74.066732,,Carrera 7 entre Calle 35 y Calle 36,SAGRADO CORAZON,1111,35,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,51aa,True,{},,,
